Id,uid,Timestamp,Identifier,Question,Status,Concept Id,uid (from Concept Id),concept id UID,Activity Mastery History,Activity Mastery,Training Session Activities,AnswerId,Answer (from AnswerId),Correct (from AnswerId),respuesta correcta Texto,Id (from AnswerId),Module Id (from Topic Id) (from Concept Id),Topic Id (from Concept Id),Modules User Saved,CorrectAnswer,videoFeedBack,feedbackText
262162,recX4n71JZTJPIcjr,2020-02-28 22:58,A-AA28,"In her spare time, Susan likes to watch 80s movies.",active,113764,recK3ntJUbuBFHGuN,recX4n71JZTJPIcjr,,21,,,,,,,3483,13752,,,mixkit-forest-stream-in-the-sunlight-529-large.mp4 (https://v5.airtableusercontent.com/v1/14/14/1674504000000/bNN5U6B4S28kIlW6S9lJlQ/E7fkr1Cow-qDT_N8BE1_fcVD5FHho5DOBE154dLKigAjkGV_V7DtkRaS-L9q0DLAQhdEigja0BdPruJEPMnvbAuh5-NRVIxjGK9zLRk-4EhJyqjax_CFOUFpOBa_Pb_v3Boa1g4tOX44JwwEGZu8ng/5U2Ln0uNr6N-VC79bjQqxjpfTkH2VIgOb6d_Wa_qYTw),"Feedback va aquí
Nunc pharetra, est eu sodales tincidunt, dui dui fringilla turpis, et posuere ex elit quis urna. Proin quam dui, lacinia nec arcu id, ultrices varius velit. Nulla vel velit nec urna sodales tristique at sit amet magna. In tempor sem eget erat varius, eget varius sapien posuere. Mauris eu placerat justo. Vestibulum eu urna a est semper egestas sit amet a eros. Donec porta viverra justo id semper."
262163,recYgGFJcAsPEm8A1,2020-02-28 22:58,A-AA30,Which of the following teams is Susan Weizer on?,active,113764,recK3ntJUbuBFHGuN,recYgGFJcAsPEm8A1,,"22,1761",,,,,,,3483,13752,,,mixkit-forest-stream-in-the-sunlight-529-large.mp4 (https://v5.airtableusercontent.com/v1/14/14/1674504000000/bNN5U6B4S28kIlW6S9lJlQ/E7fkr1Cow-qDT_N8BE1_fcVD5FHho5DOBE154dLKigAjkGV_V7DtkRaS-L9q0DLAQhdEigja0BdPruJEPMnvbAuh5-NRVIxjGK9zLRk-4EhJyqjax_CFOUFpOBa_Pb_v3Boa1g4tOX44JwwEGZu8ng/5U2Ln0uNr6N-VC79bjQqxjpfTkH2VIgOb6d_Wa_qYTw),"Feedback va aquí
Nunc pharetra, est eu sodales tincidunt, dui dui fringilla turpis, et posuere ex elit quis urna. Proin quam dui, lacinia nec arcu id, ultrices varius velit. Nulla vel velit nec urna sodales tristique at sit amet magna. In tempor sem eget erat varius, eget varius sapien posuere. Mauris eu placerat justo. Vestibulum eu urna a est semper egestas sit amet a eros. Donec porta viverra justo id semper."
262170,recZDITqGSOGGkJRx,2020-02-28 22:58,A-AA31,"Which of your teammates is shown below?

",active,113764,recK3ntJUbuBFHGuN,recZDITqGSOGGkJRx,,23,,,,,,,3483,13752,,,mixkit-forest-stream-in-the-sunlight-529-large.mp4 (https://v5.airtableusercontent.com/v1/14/14/1674504000000/bNN5U6B4S28kIlW6S9lJlQ/E7fkr1Cow-qDT_N8BE1_fcVD5FHho5DOBE154dLKigAjkGV_V7DtkRaS-L9q0DLAQhdEigja0BdPruJEPMnvbAuh5-NRVIxjGK9zLRk-4EhJyqjax_CFOUFpOBa_Pb_v3Boa1g4tOX44JwwEGZu8ng/5U2Ln0uNr6N-VC79bjQqxjpfTkH2VIgOb6d_Wa_qYTw),"Feedback va aquí
Nunc pharetra, est eu sodales tincidunt, dui dui fringilla turpis, et posuere ex elit quis urna. Proin quam dui, lacinia nec arcu id, ultrices varius velit. Nulla vel velit nec urna sodales tristique at sit amet magna. In tempor sem eget erat varius, eget varius sapien posuere. Mauris eu placerat justo. Vestibulum eu urna a est semper egestas sit amet a eros. Donec porta viverra justo id semper."
262164,rec5yG93ulyoDcX8N,2020-02-28 22:58,A-AA32,Asha Mayville is a Marketing Analyst on the _______ team.,active,113766,rec1FvPMAKhcLVgLg,rec5yG93ulyoDcX8N,,"24,961",,,,,,,3483,13752,,,mixkit-forest-stream-in-the-sunlight-529-large.mp4 (https://v5.airtableusercontent.com/v1/14/14/1674504000000/bNN5U6B4S28kIlW6S9lJlQ/E7fkr1Cow-qDT_N8BE1_fcVD5FHho5DOBE154dLKigAjkGV_V7DtkRaS-L9q0DLAQhdEigja0BdPruJEPMnvbAuh5-NRVIxjGK9zLRk-4EhJyqjax_CFOUFpOBa_Pb_v3Boa1g4tOX44JwwEGZu8ng/5U2Ln0uNr6N-VC79bjQqxjpfTkH2VIgOb6d_Wa_qYTw),"Feedback va aquí
Nunc pharetra, est eu sodales tincidunt, dui dui fringilla turpis, et posuere ex elit quis urna. Proin quam dui, lacinia nec arcu id, ultrices varius velit. Nulla vel velit nec urna sodales tristique at sit amet magna. In tempor sem eget erat varius, eget varius sapien posuere. Mauris eu placerat justo. Vestibulum eu urna a est semper egestas sit amet a eros. Donec porta viverra justo id semper."
262165,reckO1H1HEdz7nzr8,2020-02-28 22:58,A-AA33,Asha Mayville graduated with a Finance degree.,active,113766,rec1FvPMAKhcLVgLg,reckO1H1HEdz7nzr8,,"25,1762",,,,,,,3483,13752,,,mixkit-forest-stream-in-the-sunlight-529-large.mp4 (https://v5.airtableusercontent.com/v1/14/14/1674504000000/bNN5U6B4S28kIlW6S9lJlQ/E7fkr1Cow-qDT_N8BE1_fcVD5FHho5DOBE154dLKigAjkGV_V7DtkRaS-L9q0DLAQhdEigja0BdPruJEPMnvbAuh5-NRVIxjGK9zLRk-4EhJyqjax_CFOUFpOBa_Pb_v3Boa1g4tOX44JwwEGZu8ng/5U2Ln0uNr6N-VC79bjQqxjpfTkH2VIgOb6d_Wa_qYTw),"Feedback va aquí
Nunc pharetra, est eu sodales tincidunt, dui dui fringilla turpis, et posuere ex elit quis urna. Proin quam dui, lacinia nec arcu id, ultrices varius velit. Nulla vel velit nec urna sodales tristique at sit amet magna. In tempor sem eget erat varius, eget varius sapien posuere. Mauris eu placerat justo. Vestibulum eu urna a est semper egestas sit amet a eros. Donec porta viverra justo id semper."
262167,rec7fEg9UGN1e99YZ,2020-02-28 22:58,A-AA34,"One of Asha Mayville’s hobbies is listening to:
A. Audiobooks
B. Podcasts
C. Easy listening stations
D. Classical music
",active,113766,rec1FvPMAKhcLVgLg,rec7fEg9UGN1e99YZ,,26,,,,,,,3483,13752,,,mixkit-forest-stream-in-the-sunlight-529-large.mp4 (https://v5.airtableusercontent.com/v1/14/14/1674504000000/bNN5U6B4S28kIlW6S9lJlQ/E7fkr1Cow-qDT_N8BE1_fcVD5FHho5DOBE154dLKigAjkGV_V7DtkRaS-L9q0DLAQhdEigja0BdPruJEPMnvbAuh5-NRVIxjGK9zLRk-4EhJyqjax_CFOUFpOBa_Pb_v3Boa1g4tOX44JwwEGZu8ng/5U2Ln0uNr6N-VC79bjQqxjpfTkH2VIgOb6d_Wa_qYTw),"Feedback va aquí
Nunc pharetra, est eu sodales tincidunt, dui dui fringilla turpis, et posuere ex elit quis urna. Proin quam dui, lacinia nec arcu id, ultrices varius velit. Nulla vel velit nec urna sodales tristique at sit amet magna. In tempor sem eget erat varius, eget varius sapien posuere. Mauris eu placerat justo. Vestibulum eu urna a est semper egestas sit amet a eros. Donec porta viverra justo id semper."
262166,recYwzBkrCUPXxmFr,2020-02-28 22:58,A-AA35,Andrew Bernett works on the Administration team.,active,113767,recCFeIiX9NOfR8n0,recYwzBkrCUPXxmFr,,27,,,,,,,3483,13752,,,mixkit-forest-stream-in-the-sunlight-529-large.mp4 (https://v5.airtableusercontent.com/v1/14/14/1674504000000/bNN5U6B4S28kIlW6S9lJlQ/E7fkr1Cow-qDT_N8BE1_fcVD5FHho5DOBE154dLKigAjkGV_V7DtkRaS-L9q0DLAQhdEigja0BdPruJEPMnvbAuh5-NRVIxjGK9zLRk-4EhJyqjax_CFOUFpOBa_Pb_v3Boa1g4tOX44JwwEGZu8ng/5U2Ln0uNr6N-VC79bjQqxjpfTkH2VIgOb6d_Wa_qYTw),"Feedback va aquí
Nunc pharetra, est eu sodales tincidunt, dui dui fringilla turpis, et posuere ex elit quis urna. Proin quam dui, lacinia nec arcu id, ultrices varius velit. Nulla vel velit nec urna sodales tristique at sit amet magna. In tempor sem eget erat varius, eget varius sapien posuere. Mauris eu placerat justo. Vestibulum eu urna a est semper egestas sit amet a eros. Donec porta viverra justo id semper."
262168,recXaNeH6EcVMR6WX,2020-02-28 22:58,A-AA37,How many children does Andrew Bernett have?,active,113767,recCFeIiX9NOfR8n0,recXaNeH6EcVMR6WX,,28,,,,,,,3483,13752,,,mixkit-forest-stream-in-the-sunlight-529-large.mp4 (https://v5.airtableusercontent.com/v1/14/14/1674504000000/bNN5U6B4S28kIlW6S9lJlQ/E7fkr1Cow-qDT_N8BE1_fcVD5FHho5DOBE154dLKigAjkGV_V7DtkRaS-L9q0DLAQhdEigja0BdPruJEPMnvbAuh5-NRVIxjGK9zLRk-4EhJyqjax_CFOUFpOBa_Pb_v3Boa1g4tOX44JwwEGZu8ng/5U2Ln0uNr6N-VC79bjQqxjpfTkH2VIgOb6d_Wa_qYTw),"Feedback va aquí
Nunc pharetra, est eu sodales tincidunt, dui dui fringilla turpis, et posuere ex elit quis urna. Proin quam dui, lacinia nec arcu id, ultrices varius velit. Nulla vel velit nec urna sodales tristique at sit amet magna. In tempor sem eget erat varius, eget varius sapien posuere. Mauris eu placerat justo. Vestibulum eu urna a est semper egestas sit amet a eros. Donec porta viverra justo id semper."
262169,recmwJqJFc9xneP4q,2020-02-28 22:58,A-AA36,"Which of your teammates is shown below?

",active,113767,recCFeIiX9NOfR8n0,recmwJqJFc9xneP4q,,29,,,,,,,3483,13752,,,mixkit-forest-stream-in-the-sunlight-529-large.mp4 (https://v5.airtableusercontent.com/v1/14/14/1674504000000/bNN5U6B4S28kIlW6S9lJlQ/E7fkr1Cow-qDT_N8BE1_fcVD5FHho5DOBE154dLKigAjkGV_V7DtkRaS-L9q0DLAQhdEigja0BdPruJEPMnvbAuh5-NRVIxjGK9zLRk-4EhJyqjax_CFOUFpOBa_Pb_v3Boa1g4tOX44JwwEGZu8ng/5U2Ln0uNr6N-VC79bjQqxjpfTkH2VIgOb6d_Wa_qYTw),"Feedback va aquí
Nunc pharetra, est eu sodales tincidunt, dui dui fringilla turpis, et posuere ex elit quis urna. Proin quam dui, lacinia nec arcu id, ultrices varius velit. Nulla vel velit nec urna sodales tristique at sit amet magna. In tempor sem eget erat varius, eget varius sapien posuere. Mauris eu placerat justo. Vestibulum eu urna a est semper egestas sit amet a eros. Donec porta viverra justo id semper."
262171,recfziZjaSHyHv4bW,2020-02-28 22:58,A-AA38,Pip Guerette is a Sales Executive on the Sales team.,active,113768,recTcM5ujSxA6VRP8,recfziZjaSHyHv4bW,,30,,,,,,,3483,13752,,,mixkit-forest-stream-in-the-sunlight-529-large.mp4 (https://v5.airtableusercontent.com/v1/14/14/1674504000000/bNN5U6B4S28kIlW6S9lJlQ/E7fkr1Cow-qDT_N8BE1_fcVD5FHho5DOBE154dLKigAjkGV_V7DtkRaS-L9q0DLAQhdEigja0BdPruJEPMnvbAuh5-NRVIxjGK9zLRk-4EhJyqjax_CFOUFpOBa_Pb_v3Boa1g4tOX44JwwEGZu8ng/5U2Ln0uNr6N-VC79bjQqxjpfTkH2VIgOb6d_Wa_qYTw),"Feedback va aquí
Nunc pharetra, est eu sodales tincidunt, dui dui fringilla turpis, et posuere ex elit quis urna. Proin quam dui, lacinia nec arcu id, ultrices varius velit. Nulla vel velit nec urna sodales tristique at sit amet magna. In tempor sem eget erat varius, eget varius sapien posuere. Mauris eu placerat justo. Vestibulum eu urna a est semper egestas sit amet a eros. Donec porta viverra justo id semper."
