Id,uid,Identifier,Name,Status,Topic Id,Concepts from Topic,Module Id (from Topic Id),Uid Id (from Topic Id),Name (from Topic Id),Activities,Concept Mastery,Knowledge Card Renders,Id Rollup (from Activities),Knowledge Cards,Modules User Saved,Training Sessions
4581,recYYpy6njjOsZoia,,,,,,,,,,,,0,,,
22177,recYtafRoBrwXHShr,,,,,,,,,,,,0,,,
5092,recuXQ1xSErRjpPoV,,,,,,,,,,,,0,,,
16688,recyjZxxDTdTClMNd,,,,,,,,,,,,0,,,
20437,reczPoXHppoA7pbDu,,,,,,,,,,,,0,,,
20438,recBfbYlPDnJ0zYfA,,,,,,,,,,,,0,,,
4076,recOe4nFNOA8nXbhq,,,,,,,,,,,,0,,,
16687,recPwUwCunAx2EALf,,,,,,,,,,,,0,,,
19627,recPNNGpWmw6lBCPc,,,,,,,,,,,,0,,,
16686,rec4ACRSCdBevUc5i,,,,,,,,,,,,0,,,
16690,rec4pzryHiJRfVW9s,,,,,,,,,,,,0,,,
16682,rec6de6JI6U8rNwaT,,,,,,,,,,,,0,,,
16684,rec8Du4AoWZw4Af6O,,,,,,,,,,,,0,,,
22176,recdhjz3L4D3phQKY,,,,,,,,,,,,0,,,
16689,rech58L7hAjdEXBkE,,,,,,,,,,,,0,,,
4753,reckL5KJzJOfvvhJu,,,,,,,,,,,,0,,,
16683,recmvkphbMUC9MGxa,,,,,,,,,,,,0,,,
5076,recnqKNfBTKZQkhwE,,,,,,,,,,,,0,,,
22172,recotkqDJjzUmj4qi,,,,,,,,,,,,0,,,
16685,recqRW7WZiysZPnNY,,,,,,,,,,,,0,,,
20054,recsvcqkTGVtBjxVH,,,,,,,,,,,,0,,,
22175,recsESI1FKh13yTFj,,,,,,,,,,,,0,,,
5093,recsJZk44PDkWQXJ7,,,,,,,,,,,,0,,,
171252,recQrdq0Gcz2pKmH4,C-AD43,Confirming an Appraisal/Opinion | Commitment #3,active,22117,"171249,171250,171251,171252,171253,171254,171255,171256,171257,171258,171259,171260",5078,reckFYPhLyVpq5pnX,11 Major Commitments to the Sale,"358007,358008,358009","192,416,630,867,1020,1137,1366,1564,1736,1878,2038,2144,2299,2566,2663,2823,2925,3104,3255,3398,3558,3680,3831,3984,4148,4250,4428,4582,4737,4876,5141,6608,6768,7026,7286,7399,7589,7740,7863,8014,8417,8559,8722,8872,9023,9174,9325,9427,9578,9840,10028,10599,10781,10943,11045,11147,11249,11417,11711,11879,12042,12215,12378,12564,12745,12925,13082,13232,13388,13535,13685,13836,14010,14135,14312,14448,14625,14803,14971,15137,15307,15483,15652,15816,15972,16128,16275,16431,16608,16733,16910,17049,17199,17385,17578,17755,17944,18061,18263,18423,18551,18718,18887,19011,19196,19339,19501,19652,19802,20407,20540,20713,20864,21015,21141,21300,21463,21641,21792,21916,22074,22217,22372,22529,22681,22856,23029,23197,23368,23492,23653,23815,23988,24193,24336,24513,24675,24826,24952,25116,25293,25471,25647,25824,26004,26137,26288,26440,26589,26768,26919,27055,27228,27403,27559,27695,27859,28012,28171,28306,28450,28639,28790,28941,29398,29537,29755,29906,30030,30146,30293,30444,30600,30748,30899,31049,31200,31350,31547,31725,31876,32008,32159,32363,32628,32778,32929,33082,33238,33420,33575,33784,33935,34086,34237,34388,34526,34684,34863,35001,35172,35350,35501,35668,35818,35997,36148,36288,36470,36640,36802,36968,37176,37327,37484,37590,38308,39147,39260,39421,39572,39745,39918,40091,40264,40426,40577,40728,40890,41063,41236,41398,41549,41711,41873,42035,42186,42337,42492,42654,42831,43044,43206,43383,43556,43729,43853,44026,44203,44365,44516,44678,44851,45024,45197,45370,45543,45720,45871,46033,46206,46383,46549,46716,46886,47048,47172,47285,47436,47587,47738,47889,48055,48221,48387,48553,48719,48885,49051,49217,49372,49568,49769,50091,50285,50709,50890,51056,51252,51433,51584,51735,51886,52037,52203,52369,52520",,3,40757,,
171558,recnYrQgT9oyONrDL,C-AD89,Confirming an Appraisal/Opinion | Commitment #3,active,22176,"171554,171556,171557,171558,171559,171560,171561,171562,171563,171564,171565,171566",5093,recw8x9SDc81xQhZT,11 Major Commitments to the Sale,"358640,358641,358643","228,452,658,1173,1399,1593,1772,1906,2180,2691,2961,3075,3226,3354,3533,3716,3867,4029,4404,4553,4720,4912,5104,5317,5430,5532,5629,5744,5894,5996,6098,6642,6803,6989,7435,7558,7703,7899,8050,8381,8595,8757,8908,9059,9210,9463,9614,9875,10060,10635,10817,11453,11739,11913,12075,12250,12414,12512,12779,12954,13115,13265,13416,13568,13718,13870,13974,14171,14277,14484,14661,14825,15000,15170,15342,15515,15688,15851,16002,16061,16305,16465,16571,16767,16873,17002,17225,17417,17609,17714,18095,18205,18386,18585,18747,18850,19046,19133,19371,19533,19683,19834,19947,20051,20162,20255,20363,20569,20673,20827,20978,21174,21336,21499,21604,21755,21951,22104,22253,22404,22558,22717,22891,23064,23226,23331,23527,23689,23851,24024,24148,24371,24484,24638,24789,24985,25151,25329,25507,25682,25859,25964,26172,26323,26475,26625,26724,26882,27090,27262,27362,27515,27728,27818,27968,28127,28264,28485,28602,28753,28904,29052,29144,29255,29361,29572,29689,30178,30329,30480,30632,30782,30933,31084,31235,31386,31573,31688,31839,32037,32192,32326,32490,32663,32814,32965,33116,33273,33456,33611,33747,33898,34049,34200,34351,34560,34720,34826,35034,35207,35313,35533,35703,35854,35960,36111,36323,36504,36676,36838,37004,37212,38344,38636,39457,39608,39781,39954,40127,40300,40462,40613,40764,40926,41099,41272,41434,41585,41747,41909,42071,42222,42373,42528,42690,42867,43080,43242,43419,43592,43889,44062,44239,44401,44552,44714,44887,45060,45233,45406,45579,45756,45907,46069,46242,46419,46585,46922,47321,47472,47623,47774,47925,48091,48257,48423,48589,48755,48921,49087,49253,49408,49604,49805,49937,50127,50321,50551,50745,50926,51092,51288,51469,51620,51771,51922,52073,52239,52405,52556",,3,41115,,"6713267,6715275,6715280,6727242,6751868,6767403,7122391,7122422,7166088,7159151,7184355"
171559,rec3QGhfDooDVThOU,C-AD90,Confirming the Interview | Commitment #1,active,22176,"171554,171556,171557,171558,171559,171560,171561,171562,171563,171564,171565,171566",5093,recw8x9SDc81xQhZT,11 Major Commitments to the Sale,"358642,358644,358645","229,453,586,1174,1400,1505,1773,1907,2181,2692,2962,3076,3227,3355,3534,3717,3868,4030,4447,4554,4721,4913,5105,5318,5431,5533,5630,5745,5895,5997,6099,6643,6804,6990,7436,7559,7704,7900,8051,8382,8596,8758,8909,9060,9211,9464,9615,9876,10061,10636,10818,11454,11740,11914,12076,12251,12415,12513,12780,12955,13116,13266,13417,13569,13719,13871,13975,14172,14278,14485,14662,14742,15001,15171,15343,15516,15689,15852,16003,16062,16212,16466,16572,16768,16874,17003,17226,17418,17610,17715,18096,18206,18387,18471,18671,18851,19047,19214,19372,19534,19684,19835,19948,20052,20163,20256,20364,20492,20674,20828,20979,21175,21337,21500,21605,21756,21952,22010,22254,22405,22466,22718,22892,23065,23227,23332,23528,23690,23852,24025,24149,24372,24533,24639,24790,24986,25152,25330,25508,25683,25860,25965,26173,26324,26476,26626,26725,26883,27091,27263,27363,27516,27607,27819,27969,28128,28265,28486,28603,28754,28905,29053,29145,29256,29362,29573,29690,30179,30330,30481,30633,30783,30934,31085,31236,31387,31574,31689,31840,31946,32193,32327,32491,32664,32815,32966,33117,33274,33457,33612,33748,33899,34050,34201,34352,34561,34721,34827,35035,35208,35314,35534,35704,35855,35961,36112,36324,36505,36677,36839,37005,37213,38345,38637,39458,39609,39782,39955,40128,40301,40463,40614,40765,40927,41100,41273,41435,41586,41748,41910,42072,42223,42374,42529,42691,42868,43081,43243,43420,43593,43890,44063,44240,44402,44553,44715,44888,45061,45234,45407,45580,45757,45908,46070,46243,46420,46586,46923,47322,47473,47624,47775,47926,48092,48258,48424,48590,48756,48922,49088,49254,49409,49605,49806,49938,50128,50322,50552,50746,50927,51093,51289,51470,51621,51772,51923,52074,52240,52406,52557","985593,1028486,1028487,1033123,1033124",3,41117,,"6642970,6715296,6715310,6728257,6728259,6728496,6731999,6727247,6751883,6751886,6753686,6767409,6817424,6821939,6836164,6840368,6846065,7083320,7093082,7096024,7121840,7122427,7122436,7166199,7159156,7171666,7176872,7176874,7267412"
